"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","판매점영업면적"
"3170000","PHMH320203170035087500003","20200217","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 벚꽃로 298, 대륭포스트타워6차 125호 (가산동)","08510","지에스25(GS25)가산포스트6차점","2020-02-17 16:34:46","I","2020-02-19 00:23:23.0","","189662.959175776    ","442139.514492212    ",""
"3170000","PHMH320203170035087500004","2020-02-17","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 벚꽃로56길 32, 1층 (가산동)","08508","씨유 가산굴다리점","2023-06-29 10:15:37","U","2022-12-07 00:01:00.0","","189533.894568503","442480.099547579",""
"3170000","PHMH320203170035087500005","20200326","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 디지털로10길 78, 1층 114호 (가산동)","08517","씨유 가산테라타워점","2020-03-26 18:19:04","I","2020-03-28 00:23:21.0","","190185.054136417    ","441381.452926959    ","82"
"3170000","PHMH320203170035087500006","2020-04-01","","01","영업/정상","13","영업중","","","","","02-894-7774","","","","서울특별시 금천구 시흥대로52길 51 (시흥동)","08628","지에스(GS)25 시흥만섬점","2023-06-29 10:15:15","U","2022-12-07 00:01:00.0","","191237.492605272","439052.867260844",""
"3170000","PHMH320203170035087500007","20200407","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 독산로103길 30, 1층 (독산동)","08538","지에스(GS)25 독산행복점","2020-04-07 17:45:21","I","2020-04-09 00:23:32.0","","191258.097179065    ","441613.625135612    ","74.76"
"3170000","PHMH320203170035087500008","20200427","","01","영업/정상","13","영업중","","","","","","","","서울특별시 금천구 시흥동 870번지 10호","서울특별시 금천구 시흥대로 266, 1층 (시흥동)","08624","씨유금천교차로점","2020-04-27 16:38:57","I","2020-04-29 00:23:20.0","","191075.857097963    ","439485.637630184    ",""
"3170000","PHMH320203170035087500009","20200429","","01","영업/정상","13","영업중","","","","","","","","서울특별시 금천구 가산동 236번지 8호","서울특별시 금천구 가산로5길 46, 1층 (가산동)","08520","씨유 가산두산점","2021-10-19 13:50:58","U","2021-10-21 02:40:00.0","","190374.446832386    ","441290.29413211     ","0"
"3170000","PHMH320203170035087500010","2020-06-03","","03","폐업","03","폐업","2023-03-06","","","","","","","","서울특별시 금천구 독산로6가길 18, 1층 (시흥동)","08649","지에스25 금천다온","2023-03-06 16:15:39","U","2022-12-03 00:08:00.0","","","",""
"3170000","PHMH320203170035087500011","20200609","","01","영업/정상","13","영업중","","","","","","","","","서울특별시 금천구 시흥대로94길 11, 1층 (독산동)","08619","씨유 독산제일점","2020-06-09 13:47:02","I","2020-06-11 00:23:29.0","","190963.073598906    ","440007.045428735    ",""
"3170000","PHMH320203170035087500012","20200629","","01","영업/정상","13","영업중","","","","","","","","서울특별시 금천구 시흥동 271-10","서울특별시 금천구 금하로 734, 1층 (시흥동)","08644","지에스25시흥금하로","2020-06-30 08:51:14","I","2020-07-02 00:23:26.0","","192074.641476925    ","438691.551411423    ",""
