"동별(1)",동별(2),동별(3),2021. 12,2021. 12,2021. 12,2021. 12,2021. 12,2021. 12,2021. 12,2021. 12,2021. 12,2021. 12
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",마포구,상암동,12717,31473,14929,16544,30780,14594,16186,693,335,358
"합계",마포구,도화동,9305,21391,10199,11192,21151,10091,11060,240,108,132
"합계",마포구,서강동,12165,25600,12075,13525,24938,11863,13075,662,212,450
"합계",마포구,공덕동,18507,37792,17767,20025,37164,17460,19704,628,307,321
"합계",마포구,아현동,10423,25686,12042,13644,25233,11832,13401,453,210,243
"합계",양천구,소계,181404,450487,220537,229950,447302,219214,228088,3185,1323,1862
"합계",양천구,목1동,10403,30883,14846,16037,30750,14773,15977,133,73,60
"합계",양천구,목2동,13396,30139,14651,15488,29903,14562,15341,236,89,147
"합계",양천구,목3동,10027,21977,10478,11499,21815,10408,11407,162,70,92
"합계",양천구,목4동,10152,25544,12470,13074,25372,12396,12976,172,74,98
"합계",양천구,신월1동,10232,20693,10589,10104,20422,10490,9932,271,99,172
"합계",양천구,신월2동,8465,20819,10158,10661,20665,10096,10569,154,62,92
"합계",양천구,신월3동,7909,15372,8098,7274,15191,8009,7182,181,89,92
"합계",양천구,신월4동,6890,18012,8785,9227,17926,8759,9167,86,26,60
"합계",양천구,신월5동,6470,14750,7311,7439,14615,7262,7353,135,49,86
"합계",양천구,신월6동,5356,13945,6811,7134,13893,6792,7101,52,19,33
"합계",양천구,신월7동,9219,19917,9714,10203,19783,9677,10106,134,37,97
"합계",양천구,신정1동,7103,20487,9978,10509,20374,9925,10449,113,53,60
"합계",양천구,신정2동,7010,19596,9615,9981,19491,9567,9924,105,48,57
"합계",양천구,신정3동,19369,49979,24303,25676,49627,24148,25479,352,155,197
"합계",양천구,신정6동,8265,24552,11948,12604,24528,11939,12589,24,9,15
"합계",양천구,신정7동,11493,29171,14093,15078,29010,14020,14990,161,73,88
"합계",양천구,목5동,13465,41308,20484,20824,41239,20455,20784,69,29,40
"합계",양천구,신정4동,16180,33343,16205,17138,32698,15936,16762,645,269,376
"합계",강서구,소계,271175,579768,278720,301048,574315,276292,298023,5453,2428,3025
"합계",강서구,염창동,16309,41764,20212,21552,41637,20144,21493,127,68,59
"합계",강서구,등촌1동,13600,24436,11309,13127,24239,11243,12996,197,66,131
"합계",강서구,등촌2동,8668,20423,9955,10468,20303,9914,10389,120,41,79
"합계",강서구,등촌3동,15012,30714,14549,16165,30544,14486,16058,170,63,107
"합계",강서구,화곡본동,17267,34612,16743,17869,34202,16579,17623,410,164,246
"합계",강서구,화곡2동,8187,18096,8765,9331,17840,8662,9178,256,103,153
"합계",강서구,화곡3동,9657,21661,10348,11313,21525,10297,11228,136,51,85
"합계",강서구,화곡4동,9748,20820,10165,10655,20532,10038,10494,288,127,161
"합계",강서구,화곡6동,12586,25096,12106,12990,24869,12024,12845,227,82,145
"합계",강서구,화곡8동,11814,24789,11931,12858,24383,11751,12632,406,180,226
"합계",강서구,가양1동,20536,34395,15735,18660,34115,15594,18521,280,141,139
"합계",강서구,가양2동,8055,14109,6640,7469,14026,6618,7408,83,22,61
"합계",강서구,가양3동,7903,15138,7018,8120,15040,6975,8065,98,43,55
"합계",강서구,발산1동,13446,36572,17279,19293,36416,17215,19201,156,64,92
"합계",강서구,공항동,14081,31483,15912,15571,30842,15537,15305,641,375,266
"합계",강서구,방화1동,17256,43181,21041,22140,42932,20924,22008,249,117,132
"합계",강서구,방화2동,11994,23656,11696,11960,23355,11527,11828,301,169,132
"합계",강서구,방화3동,11278,22924,11106,11818,22791,11056,11735,133,50,83
"합계",강서구,화곡1동,27678,52770,25577,27193,51801,25174,26627,969,403,566
"합계",강서구,우장산동,16100,43129,20633,22496,42923,20534,22389,206,99,107
"합계",구로구,소계,180929,421163,208873,212290,396754,195537,201217,24409,13336,11073
"합계",구로구,신도림동,13730,36342,17661,18681,36049,17517,18532,293,144,149
"합계",구로구,구로1동,8343,21166,10362,10804,20827,10196,10631,339,166,173
"합계",구로구,구로3동,13338,25157,12930,12227,23529,12087,11442,1628,843,785
"합계",구로구,구로4동,10630,23745,11814,11931,19667,9534,10133,4078,2280,1798
"합계",구로구,구로5동,15130,31822,15570,16252,29212,14185,15027,2610,1385,1225
"합계",구로구,고척1동,9462,22657,11283,11374,22337,11119,11218,320,164,156
"합계",구로구,고척2동,11508,27092,13418,13674,26631,13205,13426,461,213,248
"합계",구로구,개봉2동,12575,31314,15237,16077,30894,15051,15843,420,186,234
"합계",구로구,개봉3동,8824,20590,10011,10579,20222,9831,10391,368,180,188
"합계",구로구,오류1동,12092,23155,11242,11913,22540,10945,11595,615,297,318
"합계",구로구,수궁동,10034,23806,11740,12066,23506,11591,11915,300,149,151
"합계",구로구,가리봉동,5999,13091,7447,5644,8958,4900,4058,4133,2547,1586
"합계",구로구,구로2동,12608,31164,16069,15095,23802,12016,11786,7362,4053,3309
"합계",구로구,개봉1동,14926,34560,17238,17322,33775,16854,16921,785,384,401
"합계",구로구,오류2동,15586,39026,18783,20243,38456,18495,19961,570,288,282
"합계",구로구,항동,6144,16476,8068,8408,16349,8011,8338,127,57,70
"합계",금천구,소계,117595,244891,124110,120781,230811,116527,114284,14080,7583,6497
"합계",금천구,가산동,16824,26179,14306,11873,23669,12863,10806,2510,1443,1067
"합계",금천구,독산1동,23295,46698,23968,22730,44873,22990,21883,1825,978,847
"합계",금천구,독산2동,9519,20175,10245,9930,18706,9465,9241,1469,780,689
"합계",금천구,독산3동,12718,27595,14044,13551,24152,12106,12046,3443,1938,1505
"합계",금천구,독산4동,7668,16778,8441,8337,15142,7591,7551,1636,850,786
"합계",금천구,시흥1동,16104,34533,17220,17313,32826,16326,16500,1707,894,813
"합계",금천구,시흥2동,8255,21351,10263,11088,21228,10210,11018,123,53,70
"합계",금천구,시흥3동,4736,10951,5437,5514,10800,5368,5432,151,69,82
"합계",금천구,시흥4동,9129,20916,10353,10563,20249,10030,10219,667,323,344
"합계",금천구,시흥5동,9347,19715,9833,9882,19166,9578,9588,549,255,294
"합계",영등포구,소계,187020,400908,198740,202168,376837,185926,190911,24071,12814,11257
"합계",영등포구,여의동,13460,33420,15701,17719,33071,15519,17552,349,182,167
"합계",영등포구,당산1동,10792,20648,10111,10537,20300,9948,10352,348,163,185
"합계",영등포구,당산2동,18858,37911,17762,20149,37520,17598,19922,391,164,227
"합계",영등포구,양평1동,9666,18487,9003,9484,18197,8884,9313,290,119,171
"합계",영등포구,양평2동,10662,22499,11039,11460,22301,10957,11344,198,82,116
"합계",영등포구,신길1동,10599,18755,9579,9176,17342,8831,8511,1413,748,665
"합계",영등포구,신길3동,7650,17575,8737,8838,16561,8184,8377,1014,553,461
"합계",영등포구,신길4동,5746,13089,6548,6541,12324,6126,6198,765,422,343
"합계",영등포구,신길5동,4803,11701,5749,5952,10611,5162,5449,1090,587,503
"합계",영등포구,신길6동,9118,19869,9729,10140,19076,9312,9764,793,417,376
"합계",영등포구,신길7동,7900,20158,10050,10108,19968,9961,10007,190,89,101
"합계",영등포구,대림1동,7123,17067,8650,8417,14525,7233,7292,2542,1417,1125
"합계",영등포구,대림2동,6879,18162,9357,8805,11912,5879,6033,6250,3478,2772
"합계",영등포구,대림3동,10411,25876,13080,12796,22285,11179,11106,3591,1901,1690
"합계",영등포구,영등포본동,10460,23152,11907,11245,21254,10896,10358,1898,1011,887
"합계",영등포구,영등포동,20390,29901,15676,14225,29233,15347,13886,668,329,339
"합계",영등포구,도림동,9372,19826,10006,9820,17730,8946,8784,2096,1060,1036
"합계",영등포구,문래동,13131,32812,16056,16756,32627,15964,16663,185,92,93
"합계",동작구,소계,184812,394364,190241,204123,385483,186426,199057,8881,3815,5066
"합계",동작구,노량진2동,6969,11550,5952,5598,10844,5594,5250,706,358,348
"합계",동작구,상도1동,21389,45485,21898,23587,44087,21372,22715,1398,526,872
"합계",동작구,상도2동,12590,28362,13631,14731,28107,13544,14563,255,87,168
"합계",동작구,상도3동,12009,24846,11840,13006,24512,11685,12827,334,155,179
