"동별(1)",동별(2),동별(3),2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",강서구,화곡6동,13184,25270,12067,13203,25000,11966,13034,270,101,169,13174,25263,12055,13208,24992,11955,13037,271,100,171,13140,25188,12008,13180,24913,11904,13009,275,104,171
"합계",강서구,화곡8동,11828,24308,11710,12598,23910,11531,12379,398,179,219,11832,24270,11688,12582,23878,11511,12367,392,177,215,11822,24205,11655,12550,23806,11478,12328,399,177,222
"합계",강서구,가양1동,20867,34370,15603,18767,34096,15477,18619,274,126,148,20897,34373,15552,18821,34094,15424,18670,279,128,151,20885,34328,15543,18785,34056,15416,18640,272,127,145
"합계",강서구,가양2동,8089,13847,6513,7334,13756,6489,7267,91,24,67,8064,13764,6465,7299,13673,6440,7233,91,25,66,8054,13740,6447,7293,13649,6422,7227,91,25,66
"합계",강서구,가양3동,7774,14560,6745,7815,14465,6706,7759,95,39,56,7786,14546,6731,7815,14455,6694,7761,91,37,54,7776,14518,6703,7815,14428,6664,7764,90,39,51
"합계",강서구,발산1동,13498,36212,17105,19107,35919,16910,19009,293,195,98,13528,36229,17094,19135,35922,16897,19025,307,197,110,13537,36165,17074,19091,35861,16879,18982,304,195,109
"합계",강서구,공항동,13932,30724,15524,15200,30194,15248,14946,530,276,254,13924,30682,15547,15135,30154,15269,14885,528,278,250,13920,30636,15532,15104,30101,15247,14854,535,285,250
"합계",강서구,방화1동,17328,42746,20820,21926,42512,20709,21803,234,111,123,17334,42726,20801,21925,42484,20688,21796,242,113,129,17342,42759,20810,21949,42514,20696,21818,245,114,131
"합계",강서구,방화2동,12114,23251,11506,11745,22997,11384,11613,254,122,132,12113,23185,11456,11729,22929,11331,11598,256,125,131,12121,23141,11439,11702,22876,11306,11570,265,133,132
"합계",강서구,방화3동,11268,22445,10809,11636,22320,10765,11555,125,44,81,11260,22420,10778,11642,22294,10734,11560,126,44,82,11261,22384,10768,11616,22257,10723,11534,127,45,82
"합계",강서구,화곡1동,28449,52730,25544,27186,51788,25161,26627,942,383,559,28462,52708,25546,27162,51765,25160,26605,943,386,557,28470,52636,25499,27137,51683,25110,26573,953,389,564
"합계",강서구,우장산동,16601,43725,20896,22829,43515,20805,22710,210,91,119,16667,43898,20974,22924,43687,20883,22804,211,91,120,16716,43930,21002,22928,43719,20910,22809,211,92,119
"합계",구로구,소계,184268,417983,206221,211762,395183,194039,201144,22800,12182,10618,184388,417953,206176,211777,395099,193938,201161,22854,12238,10616,184498,417876,206052,211824,394973,193810,201163,22903,12242,10661
"합계",구로구,신도림동,13962,36081,17415,18666,35769,17277,18492,312,138,174,13964,36062,17387,18675,35749,17248,18501,313,139,174,13971,36037,17377,18660,35726,17238,18488,311,139,172
"합계",구로구,구로1동,8331,20816,10165,10651,20583,10053,10530,233,112,121,8338,20785,10151,10634,20585,10052,10533,200,99,101,8345,20797,10153,10644,20605,10060,10545,192,93,99
"합계",구로구,구로3동,13637,25017,12881,12136,23406,12064,11342,1611,817,794,13664,25030,12897,12133,23397,12074,11323,1633,823,810,13669,25051,12890,12161,23387,12051,11336,1664,839,825
"합계",구로구,구로4동,10501,22922,11321,11601,19091,9226,9865,3831,2095,1736,10507,22952,11317,11635,19080,9206,9874,3872,2111,1761,10481,22883,11290,11593,19000,9167,9833,3883,2123,1760
"합계",구로구,구로5동,15682,31829,15490,16339,29328,14199,15129,2501,1291,1210,15697,31862,15495,16367,29360,14213,15147,2502,1282,1220,15697,31889,15517,16372,29346,14219,15127,2543,1298,1245
"합계",구로구,고척1동,11363,26193,13072,13121,25869,12909,12960,324,163,161,11419,26283,13124,13159,25962,12963,12999,321,161,160,11463,26390,13168,13222,26087,13013,13074,303,155,148
"합계",구로구,고척2동,11473,26504,13092,13412,26063,12880,13183,441,212,229,11464,26479,13072,13407,26029,12855,13174,450,217,233,11462,26469,13055,13414,26010,12836,13174,459,219,240
"합계",구로구,개봉2동,12463,30511,14818,15693,30110,14639,15471,401,179,222,12466,30543,14827,15716,30131,14644,15487,412,183,229,12478,30565,14827,15738,30157,14646,15511,408,181,227
"합계",구로구,개봉3동,8758,20216,9809,10407,19843,9626,10217,373,183,190,8762,20234,9818,10416,19855,9631,10224,379,187,192,8753,20205,9798,10407,19824,9610,10214,381,188,193
"합계",구로구,오류1동,12596,23241,11075,12166,22629,10789,11840,612,286,326,12615,23251,11081,12170,22633,10792,11841,618,289,329,12665,23269,11104,12165,22640,10811,11829,629,293,336
"합계",구로구,수궁동,9941,23229,11398,11831,22933,11258,11675,296,140,156,9946,23210,11385,11825,22915,11241,11674,295,144,151,9957,23172,11360,11812,22871,11215,11656,301,145,156
"합계",구로구,가리봉동,6161,12662,7103,5559,8955,4907,4048,3707,2196,1511,6169,12702,7141,5561,8961,4912,4049,3741,2229,1512,6165,12656,7105,5551,8937,4886,4051,3719,2219,1500
"합계",구로구,구로2동,12353,29633,15206,14427,22966,11562,11404,6667,3644,3023,12328,29522,15154,14368,22916,11512,11404,6606,3642,2964,12309,29477,15107,14370,22885,11487,11398,6592,3620,2972
"합계",구로구,개봉1동,14941,34139,16961,17178,33355,16579,16776,784,382,402,14967,34158,16961,17197,33373,16580,16793,785,381,404,14981,34138,16960,17178,33355,16584,16771,783,376,407
"합계",구로구,오류2동,15827,38416,18370,20046,37844,18085,19759,572,285,287,15806,38330,18327,20003,37745,18037,19708,585,290,295,15819,38331,18306,20025,37739,18012,19727,592,294,298
"합계",구로구,항동,6279,16574,8045,8529,16439,7986,8453,135,59,76,6276,16550,8039,8511,16408,7978,8430,142,61,81,6283,16547,8035,8512,16404,7975,8429,143,60,83
"합계",금천구,소계,120051,242467,122577,119890,229307,115624,113683,13160,6953,6207,120274,242553,122583,119970,229328,115578,113750,13225,7005,6220,120423,242512,122491,120021,229251,115453,113798,13261,7038,6223
"합계",금천구,가산동,17607,26631,14446,12185,24292,13111,11181,2339,1335,1004,17786,26821,14521,12300,24472,13179,11293,2349,1342,1007,17873,26936,14591,12345,24559,13219,11340,2377,1372,1005
"합계",금천구,독산1동,24765,47919,24498,23421,46205,23613,22592,1714,885,829,24814,47949,24509,23440,46237,23615,22622,1712,894,818,24900,47995,24490,23505,46285,23600,22685,1710,890,820
"합계",금천구,독산2동,9436,19428,9815,9613,18108,9135,8973,1320,680,640,9440,19390,9802,9588,18060,9109,8951,1330,693,637,9433,19413,9800,9613,18082,9107,8975,1331,693,638
"합계",금천구,독산3동,12907,27140,13767,13373,23946,12012,11934,3194,1755,1439,12911,27136,13765,13371,23935,11992,11943,3201,1773,1428,12919,27131,13746,13385,23912,11968,11944,3219,1778,1441
"합계",금천구,독산4동,7658,16391,8243,8148,14844,7461,7383,1547,782,765,7656,16388,8236,8152,14829,7452,7377,1559,784,775,7639,16332,8207,8125,14794,7435,7359,1538,772,766
"합계",금천구,시흥1동,16287,33929,16914,17015,32332,16093,16239,1597,821,776,16314,33930,16897,17033,32326,16080,16246,1604,817,787,16326,33915,16901,17014,32312,16080,16232,1603,821,782
"합계",금천구,시흥2동,8234,20775,9926,10849,20663,9878,10785,112,48,64,8231,20749,9917,10832,20634,9866,10768,115,51,64,8249,20738,9905,10833,20626,9854,10772,112,51,61
"합계",금천구,시흥3동,4674,10599,5233,5366,10449,5167,5282,150,66,84,4672,10588,5237,5351,10435,5169,5266,153,68,85,4667,10564,5213,5351,10410,5144,5266,154,69,85
"합계",금천구,시흥4동,9173,20504,10137,10367,19859,9820,10039,645,317,328,9163,20479,10120,10359,19833,9807,10026,646,313,333,9152,20449,10105,10344,19791,9787,10004,658,318,340
"합계",금천구,시흥5동,9310,19151,9598,9553,18609,9334,9275,542,264,278,9287,19123,9579,9544,18567,9309,9258,556,270,286,9265,19039,9533,9506,18480,9259,9221,559,274,285
"합계",영등포구,소계,190252,398999,196502,202497,376614,184973,191641,22385,11529,10856,190393,398975,196460,202515,376423,184827,191596,22552,11633,10919,190437,399019,196467,202552,376347,184761,191586,22672,11706,10966
"합계",영등포구,여의동,13307,32869,15446,17423,32494,15257,17237,375,189,186,13313,32884,15454,17430,32500,15258,17242,384,196,188,13351,32984,15492,17492,32592,15293,17299,392,199,193
"합계",영등포구,당산1동,11403,21178,10261,10917,20813,10108,10705,365,153,212,11428,21203,10268,10935,20826,10110,10716,377,158,219,11440,21217,10262,10955,20837,10103,10734,380,159,221
"합계",영등포구,당산2동,18892,37175,17356,19819,36770,17178,19592,405,178,227,18910,37160,17344,19816,36745,17165,19580,415,179,236,18917,37182,17337,19845,36766,17158,19608,416,179,237
"합계",영등포구,양평1동,9918,18620,8982,9638,18344,8875,9469,276,107,169,9921,18575,8961,9614,18299,8858,9441,276,103,173,9922,18557,8956,9601,18286,8851,9435,271,105,166
"합계",영등포구,양평2동,10951,22620,10984,11636,22414,10904,11510,206,80,126,10979,22658,10990,11668,22451,10910,11541,207,80,127,11007,22703,11017,11686,22499,10938,11561,204,79,125
"합계",영등포구,신길1동,11577,20734,10492,10242,19408,9812,9596,1326,680,646,11597,20759,10496,10263,19426,9817,9609,1333,679,654,11608,20750,10493,10257,19414,9801,9613,1336,692,644
"합계",영등포구,신길3동,7617,17235,8526,8709,16297,8030,8267,938,496,442,7604,17222,8521,8701,16272,8019,8253,950,502,448,7597,17222,8506,8716,16266,8005,8261,956,501,455
"합계",영등포구,신길4동,5805,13052,6480,6572,12332,6105,6227,720,375,345,5799,13058,6487,6571,12334,6110,6224,724,377,347,5801,13075,6493,6582,12341,6113,6228,734,380,354
"합계",영등포구,신길5동,4657,11133,5408,5725,10173,4919,5254,960,489,471,4659,11123,5417,5706,10172,4929,5243,951,488,463,4648,11111,5405,5706,10151,4916,5235,960,489,471
"합계",영등포구,신길6동,9156,19471,9518,9953,18774,9176,9598,697,342,355,9120,19320,9428,9892,18635,9091,9544,685,337,348,9046,19129,9338,9791,18446,8999,9447,683,339,344
"합계",영등포구,신길7동,7876,19967,9950,10017,19785,9862,9923,182,88,94,7884,19992,9969,10023,19808,9880,9928,184,89,95,7872,19977,9964,10013,19792,9874,9918,185,90,95
"합계",영등포구,대림1동,6991,16368,8247,8121,14032,6972,7060,2336,1275,1061,7003,16387,8274,8113,14030,6984,7046,2357,1290,1067,6990,16370,8258,8112,14004,6973,7031,2366,1285,1081
"합계",영등포구,대림2동,7025,17582,8934,8648,11942,5869,6073,5640,3065,2575,7012,17607,8943,8664,11922,5847,6075,5685,3096,2589,7021,17693,9002,8691,11944,5867,6077,5749,3135,2614
"합계",영등포구,대림3동,10420,25234,12676,12558,21890,10930,10960,3344,1746,1598,10420,25213,12673,12540,21860,10914,10946,3353,1759,1594,10405,25167,12665,12502,21818,10905,10913,3349,1760,1589
"합계",영등포구,영등포본동,10404,22654,11624,11030,20957,10759,10198,1697,865,832,10396,22634,11615,11019,20922,10740,10182,1712,875,837,10418,22659,11629,11030,20936,10741,10195,1723,888,835
"합계",영등포구,영등포동,21542,30980,15867,15113,30211,15527,14684,769,340,429,21635,31089,15906,15183,30293,15552,14741,796,354,442,21680,31157,15948,15209,30352,15593,14759,805,355,450
"합계",영등포구,도림동,9576,19648,9905,9743,17713,8948,8765,1935,957,978,9589,19673,9905,9768,17726,8937,8789,1947,968,979,9594,19657,9913,9744,17710,8944,8766,1947,969,978
"합계",영등포구,문래동,13135,32479,15846,16633,32265,15742,16523,214,104,110,13124,32418,15809,16609,32202,15706,16496,216,103,113,13120,32409,15789,16620,32193,15687,16506,216,102,114
"합계",동작구,소계,186534,390377,188069,202308,380201,183900,196301,10176,4169,6007,186730,390570,188213,202357,380385,184072,196313,10185,4141,6044,186980,390917,188352,202565,380594,184116,196478,10323,4236,6087
"합계",동작구,노량진2동,6873,11265,5872,5393,10503,5473,5030,762,399,363,6895,11288,5886,5402,10523,5485,5038,765,401,364,6905,11309,5929,5380,10522,5509,5013,787,420,367
"합계",동작구,상도1동,22665,46469,22341,24128,44452,21598,22854,2017,743,1274,22638,46461,22276,24185,44373,21551,22822,2088,725,1363,22658,46491,22284,24207,44383,21544,22839,2108,740,1368
"합계",동작구,상도2동,12576,28000,13395,14605,27700,13282,14418,300,113,187,12563,27975,13382,14593,27668,13269,14399,307,113,194,12564,27975,13361,14614,27668,13247,14421,307,114,193
"합계",동작구,상도3동,12250,24535,11636,12899,24164,11472,12692,371,164,207,12257,24528,11647,12881,24156,11483,12673,372,164,208,12220,24502,11632,12870,24126,11465,12661,376,167,209
"합계",동작구,상도4동,14184,28510,13823,14687,28165,13708,14457,345,115,230,14177,28455,13786,14669,28103,13669,14434,352,117,235,14165,28413,13754,14659,28063,13641,14422,350,113,237
"합계",동작구,사당1동,13712,23030,11044,11986,22566,10847,11719,464,197,267,13720,22984,11030,11954,22523,10840,11683,461,190,271,13735,22987,11030,11957,22526,10839,11687,461,191,270
"합계",동작구,사당3동,10519,24118,11636,12482,23931,11556,12375,187,80,107,10520,24105,11648,12457,23913,11566,12347,192,82,110,10541,24149,11657,12492,23951,11573,12378,198,84,114
"합계",동작구,사당4동,7277,14130,6719,7411,13959,6645,7314,171,74,97,7287,14099,6700,7399,13924,6626,7298,175,74,101,7281,14070,6705,7365,13895,6631,7264,175,74,101
"합계",동작구,사당5동,6728,14395,6889,7506,14294,6842,7452,101,47,54,6726,14380,6876,7504,14276,6826,7450,104,50,54,6740,14365,6857,7508,14258,6804,7454,107,53,54
"합계",동작구,대방동,16774,36348,17166,19182,36034,17014,19020,314,152,162,16743,36261,17126,19135,35941,16972,18969,320,154,166,16712,36120,17043,19077,35798,16888,18910,322,155,167
"합계",동작구,신대방1동,10474,25121,12090,13031,23359,11197,12162,1762,893,869,10471,25151,12113,13038,23373,11209,12164,1778,904,874,10476,25157,12105,13052,23378,11198,12180,1779,907,872
"합계",동작구,신대방2동,10701,22412,10673,11739,22177,10581,11596,235,92,143,10692,22416,10692,11724,22175,10601,11574,241,91,150,10696,22383,10675,11708,22133,10577,11556,250,98,152
"합계",동작구,흑석동,12649,31020,14758,16262,28722,14013,14709,2298,745,1553,12819,31378,14974,16404,29211,14264,14947,2167,710,1457,12974,31846,15198,16648,29663,14475,15188,2183,723,1460
"합계",동작구,노량진1동,16575,32335,16308,16027,31831,16110,15721,504,198,306,16628,32399,16337,16062,31878,16132,15746,521,205,316,16719,32491,16399,16092,31918,16166,15752,573,233,340
"합계",동작구,사당2동,12577,28689,13719,14970,28344,13562,14782,345,157,188,12594,28690,13740,14950,28348,13579,14769,342,161,181,12594,28659,13723,14936,28312,13559,14753,347,164,183
"합계",관악구,소계,285914,502628,251376,251252,487815,245376,242439,14813,6000,8813,286127,502699,251264,251435,487641,245231,242410,15058,6033,9025,286538,502631,251333,251298,487462,245217,242245,15169,6116,9053
"합계",관악구,보라매동,13148,24667,12127,12540,24227,11929,12298,440,198,242,13132,24625,12127,12498,24179,11926,12253,446,201,245,13132,24585,12106,12479,24134,11904,12230,451,202,249
"합계",관악구,청림동,6454,15025,7260,7765,14924,7222,7702,101,38,63,6445,14995,7237,7758,14899,7201,7698,96,36,60,6446,14994,7231,7763,14896,7195,7701,98,36,62
"합계",관악구,행운동,18318,29666,14314,15352,29159,14148,15011,507,166,341,18330,29688,14309,15379,29180,14146,15034,508,163,345,18362,29682,14327,15355,29170,14161,15009,512,166,346
"합계",관악구,낙성대동,11990,17990,8977,9013,17425,8750,8675,565,227,338,12027,18014,8978,9036,17464,8762,8702,550,216,334,12075,18036,8990,9046,17483,8773,8710,553,217,336
"합계",관악구,중앙동,10264,15787,7579,8208,15413,7450,7963,374,129,245,10275,15788,7582,8206,15406,7453,7953,382,129,253,10277,15795,7599,8196,15403,7463,7940,392,136,256
"합계",관악구,인헌동,14860,26131,12626,13505,25747,12474,13273,384,152,232,14850,26101,12579,13522,25720,12434,13286,381,145,236,14882,26131,12597,13534,25750,12453,13297,381,144,237
"합계",관악구,남현동,9898,18135,8776,9359,17932,8699,9233,203,77,126,9887,18102,8762,9340,17895,8682,9213,207,80,127,9895,18070,8748,9322,17867,8668,9199,203,80,123
"합계",관악구,서원동,14928,23668,12310,11358,22929,12014,10915,739,296,443,14930,23631,12287,11344,22893,11993,10900,738,294,444,14968,23683,12317,11366,22936,12021,10915,747,296,451
"합계",관악구,신원동,11397,18691,9403,9288,17904,9091,8813,787,312,475,11388,18659,9385,9274,17866,9067,8799,793,318,475,11382,18626,9386,9240,17829,9070,8759,797,316,481
"합계",관악구,서림동,15255,24549,13510,11039,23631,13187,10444,918,323,595,15284,24684,13548,11136,23641,13191,10450,1043,357,686,15324,24681,13546,11135,23647,13172,10475,1034,374,660
"합계",관악구,신사동,14521,24760,12328,12432,22674,11334,11340,2086,994,1092,14598,24818,12342,12476,22721,11347,11374,2097,995,1102,14629,24834,12362,12472,22717,11366,11351,2117,996,1121
"합계",관악구,신림동,19175,24176,12605,11571,23319,12298,11021,857,307,550,19196,24211,12621,11590,23350,12319,11031,861,302,559,19251,24245,12631,11614,23380,12326,11054,865,305,560
"합계",관악구,난향동,6176,14997,7345,7652,14872,7277,7595,125,68,57,6176,14974,7340,7634,14848,7271,7577,126,69,57,6193,14970,7332,7638,14842,7263,7579,128,69,59
"합계",관악구,조원동,12163,20895,10399,10496,19509,9733,9776,1386,666,720,12193,20969,10428,10541,19575,9758,9817,1394,670,724,12226,20992,10427,10565,19590,9748,9842,1402,679,723
"합계",관악구,대학동,17391,26871,15763,11108,24403,14880,9523,2468,883,1585,17487,26993,15794,11199,24468,14913,9555,2525,881,1644,17550,27065,15837,11228,24496,14929,9567,2569,908,1661
"합계",관악구,은천동,16148,33181,16179,17002,32717,16006,16711,464,173,291,16131,33137,16164,16973,32656,15983,16673,481,181,300,16151,33153,16202,16951,32663,16016,16647,490,186,304
"합계",관악구,성현동,12245,28741,13832,14909,28542,13754,14788,199,78,121,12256,28730,13817,14913,28535,13741,14794,195,76,119,12244,28683,13789,14894,28484,13709,14775,199,80,119
"합계",관악구,청룡동,24348,37252,17743,19509,36174,17337,18837,1078,406,672,24355,37231,17724,19507,36145,17312,18833,1086,412,674,24350,37207,17716,19491,36130,17306,18824,1077,410,667
"합계",관악구,난곡동,12989,26411,13166,13245,25975,12984,12991,436,182,254,12984,26352,13134,13218,25901,12948,12953,451,186,265,12986,26285,13113,13172,25831,12920,12911,454,193,261
"합계",관악구,삼성동,9824,20520,10200,10320,20384,10145,10239,136,55,81,9790,20451,10157,10294,20318,10105,10213,133,52,81,9781,20397,10143,10254,20260,10088,10172,137,55,82
"합계",관악구,미성동,14422,30515,14934,15581,29955,14664,15291,560,270,290,14413,30546,14949,15597,29981,14679,15302,565,270,295,14434,30517,14934,15583,29954,14666,15288,563,268,295
"합계",서초구,소계,168234,408979,195160,213819,404831,193158,211673,4148,2002,2146,168238,408758,194958,213800,404539,192932,211607,4219,2026,2193,168344,408725,194932,213793,404436,192875,211561,4289,2057,2232
"합계",서초구,서초1동,9445,20496,9862,10634,20307,9779,10528,189,83,106,9451,20494,9853,10641,20310,9773,10537,184,80,104,9462,20488,9861,10627,20309,9781,10528,179,80,99
"합계",서초구,서초2동,11770,27047,12834,14213,26610,12601,14009,437,233,204,11801,27056,12840,14216,26620,12605,14015,436,235,201,11832,27053,12844,14209,26624,12613,14011,429,231,198
"합계",서초구,서초3동,15270,32418,15370,17048,32079,15228,16851,339,142,197,15283,32435,15357,17078,32086,15214,16872,349,143,206,15298,32434,15389,17045,32090,15244,16846,344,145,199
"합계",서초구,서초4동,10679,30550,14927,15623,30291,14800,15491,259,127,132,10676,30531,14912,15619,30264,14780,15484,267,132,135,10703,30575,14933,15642,30303,14802,15501,272,131,141
"합계",서초구,잠원동,10481,26398,12699,13699,26215,12612,13603,183,87,96,10487,26369,12681,13688,26183,12594,13589,186,87,99,10512,26405,12693,13712,26219,12609,13610,186,84,102
"합계",서초구,반포본동,132,283,140,143,266,128,138,17,12,5,132,282,139,143,266,128,138,16,11,5,133,285,139,146,269,128,141,16,11,5
"합계",서초구,반포1동,14833,34547,16826,17721,34180,16672,17508,367,154,213,14842,34561,16842,17719,34195,16690,17505,366,152,214,14856,34554,16839,17715,34187,16690,17497,367,149,218
"합계",서초구,반포2동,4991,15749,7462,8287,15645,7414,8231,104,48,56,4988,15743,7463,8280,15635,7415,8220,108,48,60,4998,15759,7466,8293,15645,7414,8231,114,52,62
"합계",서초구,반포3동,8151,23784,11330,12454,23723,11301,12422,61,29,32,8179,23873,11360,12513,23813,11332,12481,60,28,32,8188,23853,11352,12501,23792,11324,12468,61,28,33
"합계",서초구,반포4동,7059,19448,9196,10252,18741,8808,9933,707,388,319,7046,19409,9172,10237,18684,8773,9911,725,399,326,7053,19427,9174,10253,18700,8773,9927,727,401,326
"합계",서초구,방배본동,7913,20711,9563,11148,20543,9473,11070,168,90,78,7913,20658,9534,11124,20485,9441,11044,173,93,80,7913,20645,9524,11121,20476,9434,11042,169,90,79
"합계",서초구,방배1동,7502,16830,7859,8971,16680,7795,8885,150,64,86,7493,16800,7833,8967,16652,7768,8884,148,65,83,7497,16778,7812,8966,16627,7749,8878,151,63,88
"합계",서초구,방배2동,7981,18436,8629,9807,18325,8567,9758,111,62,49,7956,18394,8607,9787,18277,8543,9734,117,64,53,7937,18365,8589,9776,18247,8524,9723,118,65,53
"합계",서초구,방배3동,6335,17194,8244,8950,17082,8193,8889,112,51,61,6331,17173,8226,8947,17055,8176,8879,118,50,68,6335,17217,8248,8969,17056,8181,8875,161,67,94
"합계",서초구,방배4동,9606,23339,10636,12703,23019,10492,12527,320,144,176,9600,23327,10626,12701,22999,10480,12519,328,146,182,9573,23238,10586,12652,22914,10440,12474,324,146,178
"합계",서초구,양재1동,17853,42671,20275,22396,42328,20121,22207,343,154,189,17846,42585,20225,22360,42236,20070,22166,349,155,194,17853,42589,20218,22371,42242,20063,22179,347,155,192
"합계",서초구,양재2동,11015,21713,10909,10804,21489,10803,10686,224,106,118,10997,21669,10877,10792,21441,10768,10673,228,109,119,10983,21675,10859,10816,21410,10729,10681,265,130,135
"합계",서초구,내곡동,7218,17365,8399,8966,17308,8371,8937,57,28,29,7217,17399,8411,8988,17338,8382,8956,61,29,32,7218,17385,8406,8979,17326,8377,8949,59,29,30
"합계",강남구,소계,234735,537817,257121,280696,532798,254811,277987,5019,2310,2709,235708,539742,257993,281749,534646,255637,279009,5096,2356,2740,236296,540907,258475,282432,535744,256095,279649,5163,2380,2783
"합계",강남구,신사동,6838,15787,7342,8445,15545,7223,8322,242,119,123,6831,15794,7354,8440,15551,7233,8318,243,121,122,6839,15806,7368,8438,15567,7248,8319,239,120,119
"합계",강남구,개포3동,7389,17186,8320,8866,17121,8291,8830,65,29,36,7399,17177,8326,8851,17109,8294,8815,68,32,36,7413,17162,8311,8851,17097,8280,8817,65,31,34
"합계",강남구,논현1동,13703,22023,10331,11692,21340,10067,11273,683,264,419,13708,22051,10336,11715,21371,10072,11299,680,264,416,13670,21996,10313,11683,21300,10051,11249,696,262,434
"합계",강남구,논현2동,11156,20811,9711,11100,20477,9557,10920,334,154,180,11362,21010,9782,11228,20676,9627,11049,334,155,179,11348,20973,9749,11224,20638,9592,11046,335,157,178
"합계",강남구,삼성1동,5337,12662,6230,6432,12432,6085,6347,230,145,85,5341,12669,6238,6431,12425,6079,6346,244,159,85,5314,12622,6206,6416,12369,6043,6326,253,163,90
"합계",강남구,삼성2동,13666,30928,14858,16070,30682,14728,15954,246,130,116,13644,30871,14826,16045,30624,14700,15924,247,126,121,13619,30795,14770,16025,30541,14641,15900,254,129,125
"합계",강남구,대치1동,7201,23805,11955,11850,23764,11932,11832,41,23,18,7197,23766,11926,11840,23721,11902,11819,45,24,21,7210,23824,11953,11871,23779,11929,11850,45,24,21
"합계",강남구,대치4동,9820,19237,9102,10135,18956,9000,9956,281,102,179,9816,19156,9054,10102,18881,8956,9925,275,98,177,9819,19135,9061,10074,18860,8963,9897,275,98,177
"합계",강남구,역삼1동,23676,35409,17214,18195,34328,16748,17580,1081,466,615,23654,35418,17202,18216,34302,16720,17582,1116,482,634,23631,35403,17177,18226,34255,16679,17576,1148,498,650
"합계",강남구,역삼2동,15883,37321,17460,19861,36989,17305,19684,332,155,177,15873,37274,17426,19848,36935,17267,19668,339,159,180,15861,37216,17381,19835,36874,17222,19652,342,159,183
"합계",강남구,도곡1동,8305,20914,9929,10985,20776,9857,10919,138,72,66,8277,20840,9899,10941,20705,9831,10874,135,68,67,8281,20829,9905,10924,20690,9833,10857,139,72,67
"합계",강남구,도곡2동,11489,32768,15228,17540,32670,15171,17499,98,57,41,11473,32717,15199,17518,32619,15142,17477,98,57,41,11469,32672,15178,17494,32573,15120,17453,99,58,41
"합계",강남구,개포1동,2632,6912,3338,3574,6892,3329,3563,20,9,11,2631,6910,3334,3576,6890,3325,3565,20,9,11,2627,6900,3325,3575,6881,3316,3565,19,9,10
"합계",강남구,개포4동,10067,23614,11355,12259,23434,11282,12152,180,73,107,10082,23634,11360,12274,23457,11289,12168,177,71,106,10076,23635,11371,12264,23458,11301,12157,177,70,107
"합계",강남구,일원본동,8003,22906,11342,11564,22882,11331,11551,24,11,13,7992,22865,11310,11555,22842,11299,11543,23,11,12,7994,22851,11302,11549,22825,11290,11535,26,12,14
"합계",강남구,일원1동,7473,14884,7201,7683,14749,7158,7591,135,43,92,7459,14847,7175,7672,14708,7128,7580,139,47,92,7447,14792,7146,7646,14653,7101,7552,139,45,94
"합계",강남구,수서동,7690,14263,6426,7837,14205,6407,7798,58,19,39,7690,14233,6415,7818,14175,6396,7779,58,19,39,7705,14232,6410,7822,14175,6391,7784,57,19,38
"합계",강남구,세곡동,18548,43960,20645,23315,43784,20566,23218,176,79,97,18686,44130,20700,23430,43954,20618,23336,176,82,94,18736,44169,20697,23472,43989,20616,23373,180,81,99
"합계",강남구,압구정동,10040,25805,11942,13863,25651,11858,13793,154,84,70,10035,25790,11935,13855,25633,11852,13781,157,83,74,10026,25782,11953,13829,25619,11865,13754,163,88,75
"합계",강남구,청담동,11023,25392,11883,13509,25144,11747,13397,248,136,112,11017,25382,11909,13473,25124,11766,13358,258,143,115,10997,25334,11889,13445,25075,11743,13332,259,146,113
"합계",강남구,대치2동,12914,37038,18751,18287,36880,18652,18228,158,99,59,12908,37002,18742,18260,36841,18641,18200,161,101,60,12918,36951,18697,18254,36797,18600,18197,154,97,57
"합계",강남구,개포2동,11882,34192,16558,17634,34097,16517,17580,95,41,54,12633,36206,17545,18661,36103,17500,18603,103,45,58,13296,37828,18313,19515,37729,18271,19458,99,42,57
"합계",송파구,소계,285489,663704,319139,344565,658006,316564,341442,5698,2575,3123,285493,663367,318928,344439,657665,316356,341309,5702,2572,3130,285615,662971,318646,344325,657260,316082,341178,5711,2564,3147
"합계",송파구,풍납1동,5776,12772,6269,6503,12254,6006,6248,518,263,255,5748,12697,6247,6450,12179,5983,6196,518,264,254,5734,12658,6229,6429,12150,5971,6179,508,258,250
