"동별(1)",동별(2),동별(3),2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 03,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 04,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05,2023. 05
"동별(1)",동별(2),동별(3),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명),세대 (세대),합계 (명),합계 (명),합계 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계,남자,여자,소계,남자,여자,소계,남자,여자
"합계",성동구,금호4가동,6372,14351,6797,7554,14228,6736,7492,123,61,62,6382,14373,6811,7562,14244,6750,7494,129,61,68,6405,14393,6822,7571,14264,6761,7503,129,61,68
"합계",성동구,성수1가1동,7486,15996,7969,8027,15698,7806,7892,298,163,135,7460,15936,7930,8006,15636,7767,7869,300,163,137,7469,15936,7947,7989,15630,7781,7849,306,166,140
"합계",성동구,성수1가2동,5968,12333,6011,6322,12133,5921,6212,200,90,110,5972,12325,6010,6315,12123,5919,6204,202,91,111,5977,12291,5999,6292,12091,5912,6179,200,87,113
"합계",성동구,성수2가1동,7819,15495,8035,7460,15026,7820,7206,469,215,254,7809,15446,8005,7441,14972,7790,7182,474,215,259,7770,15366,7949,7417,14903,7734,7169,463,215,248
"합계",성동구,성수2가3동,5319,10501,5243,5258,10249,5124,5125,252,119,133,5317,10489,5232,5257,10241,5116,5125,248,116,132,5309,10446,5212,5234,10207,5105,5102,239,107,132
"합계",성동구,송정동,5455,10398,5479,4919,10007,5281,4726,391,198,193,5443,10367,5471,4896,9969,5265,4704,398,206,192,5425,10314,5446,4868,9922,5244,4678,392,202,190
"합계",성동구,용답동,7437,12680,6401,6279,11755,6038,5717,925,363,562,7495,12792,6457,6335,11847,6079,5768,945,378,567,7511,12812,6462,6350,11860,6081,5779,952,381,571
"합계",성동구,왕십리도선동,12185,26879,12632,14247,26406,12436,13970,473,196,277,12185,26872,12624,14248,26385,12426,13959,487,198,289,12218,26912,12633,14279,26423,12431,13992,489,202,287
"합계",성동구,금호2.3가동,9922,22337,10681,11656,22165,10604,11561,172,77,95,9898,22278,10649,11629,22108,10573,11535,170,76,94,9892,22243,10633,11610,22073,10557,11516,170,76,94
"합계",성동구,옥수동,10738,25809,12002,13807,25553,11861,13692,256,141,115,10737,25756,11964,13792,25503,11825,13678,253,139,114,10748,25743,11962,13781,25492,11824,13668,251,138,113
"합계",광진구,소계,169787,350925,167983,182942,336801,162209,174592,14124,5774,8350,169725,351038,167983,183055,336558,162071,174487,14480,5912,8568,169950,351137,167971,183166,336580,162020,174560,14557,5951,8606
"합계",광진구,화양동,18273,27334,12467,14867,23450,11171,12279,3884,1296,2588,18234,27312,12434,14878,23379,11116,12263,3933,1318,2615,18258,27342,12423,14919,23406,11106,12300,3936,1317,2619
"합계",광진구,군자동,11396,21410,10534,10876,19340,9576,9764,2070,958,1112,11385,21564,10585,10979,19286,9553,9733,2278,1032,1246,11385,21589,10579,11010,19318,9553,9765,2271,1026,1245
"합계",광진구,중곡1동,8662,15837,7528,8309,15453,7364,8089,384,164,220,8656,15832,7517,8315,15435,7346,8089,397,171,226,8657,15818,7506,8312,15416,7333,8083,402,173,229
"합계",광진구,중곡2동,10641,21197,9964,11233,20856,9828,11028,341,136,205,10648,21156,9938,11218,20817,9804,11013,339,134,205,10667,21142,9941,11201,20801,9807,10994,341,134,207
"합계",광진구,중곡3동,8552,16153,7957,8196,15913,7861,8052,240,96,144,8556,16165,7958,8207,15920,7863,8057,245,95,150,8584,16156,7957,8199,15906,7858,8048,250,99,151
"합계",광진구,중곡4동,13103,28229,13754,14475,27866,13623,14243,363,131,232,13126,28244,13753,14491,27874,13615,14259,370,138,232,13124,28208,13726,14482,27841,13588,14253,367,138,229
"합계",광진구,능동,6435,11522,5298,6224,11163,5131,6032,359,167,192,6441,11568,5321,6247,11163,5124,6039,405,197,208,6463,11579,5328,6251,11180,5130,6050,399,198,201
"합계",광진구,구의1동,13131,24096,11451,12645,23424,11181,12243,672,270,402,13103,24036,11424,12612,23364,11155,12209,672,269,403,13139,24040,11447,12593,23365,11174,12191,675,273,402
"합계",광진구,구의2동,11508,26403,12610,13793,25864,12385,13479,539,225,314,11510,26412,12611,13801,25857,12380,13477,555,231,324,11517,26431,12611,13820,25875,12379,13496,556,232,324
"합계",광진구,구의3동,12118,28404,13380,15024,28173,13284,14889,231,96,135,12094,28368,13360,15008,28128,13260,14868,240,100,140,12128,28383,13376,15007,28140,13274,14866,243,102,141
"합계",광진구,광장동,11811,34245,16559,17686,34044,16468,17576,201,91,110,11818,34257,16570,17687,34062,16482,17580,195,88,107,11824,34256,16576,17680,34061,16489,17572,195,87,108
"합계",광진구,자양1동,12024,22854,11072,11782,22007,10710,11297,847,362,485,12066,22931,11120,11811,22089,10761,11328,842,359,483,12093,22991,11134,11857,22134,10772,11362,857,362,495
"합계",광진구,자양2동,10855,24110,11682,12428,23802,11546,12256,308,136,172,10823,24054,11654,12400,23743,11519,12224,311,135,176,10837,24059,11656,12403,23745,11521,12224,314,135,179
"합계",광진구,자양3동,11002,27769,13252,14517,27457,13117,14340,312,135,177,10998,27787,13276,14511,27465,13136,14329,322,140,182,11004,27759,13245,14514,27434,13104,14330,325,141,184
